stop_id,stop_name,lon,lat
U138Z2P,"Tyršův dům",14.404471,50.084187
U361Z2P,"Malostranské náměstí",14.404480,50.088272
U360Z4P,"Malostranská",14.410686,50.091621
U68Z2P,"Čechův most",14.417685,50.094063
U100Z3P,"Vltavská",14.437243,50.098469
U983Z1P,"Štvanice",14.436890,50.095135
U952Z1P,"Těšnov",14.436490,50.091675
U308Z2P,"Divadlo Gong",14.488089,50.106541
U464Z2P,"Poliklinika Vysočany",14.494761,50.108864
U474Z8P,"Nádraží Vysočany",14.499093,50.110130
U474Z2P,"Vysočanská",14.503456,50.111210
U1052Z2P,"Špitálská",14.505411,50.110897
U873Z2P,"Poštovská",14.509474,50.110561
U75Z2P,"Kolbenova",14.516171,50.110546
U499Z2P,"Nový Hloubětín",14.528078,50.109291
U1053Z2P,"Vozovna Hloubětín",14.528331,50.107471
U144Z2P,"Starý Hloubětín",14.530711,50.104706
U135Z2P,"Hloubětín",14.537567,50.106171
U652Z2P,"Sídliště Hloubětín",14.543568,50.106537
U72Z2P,"Lehovec",14.547981,50.106815
U616Z1P,"Radhošťská",14.457279,50.077652
U209Z1P,"Jiřího z Poděbrad",14.450471,50.077255
U850Z1P,"Vinohradská tržnice",14.442732,50.077023
U191Z1P,"Italská",14.436517,50.078033
U400Z5P,"Muzeum",14.433838,50.078922
U400Z6P,"Muzeum",14.434217,50.078777
U191Z2P,"Italská",14.435564,50.078289
U850Z2P,"Vinohradská tržnice",14.441361,50.077095
U209Z2P,"Jiřího z Poděbrad",14.448688,50.077110
U616Z2P,"Radhošťská",14.457685,50.077614
U515Z14P,"Olšanské hřbitovy",14.466900,50.077808
U72Z1P,"Lehovec",14.547227,50.106884
U864Z1P,"Vozovna Kobylisy",14.453547,50.132809
U864Z5P,"Vozovna Kobylisy",14.453671,50.131851
U333Z1P,"Líbeznická",14.455528,50.128784
U139Z1P,"Hercovka",14.451224,50.122074
U447Z1P,"Nad Trojou",14.438882,50.120331
U765Z1P,"Trojská",14.433118,50.116180
U115Z1P,"Nádraží Holešovice",14.437530,50.109669
U593Z1P,"Právnická fakulta",14.417862,50.091705
U703Z7P,"Staroměstská",14.413691,50.089394
U2708Z2P,"Hasičská stanice Modřany",14.440171,50.005981
U509Z4P,"Observatoř Libuš",14.447301,50.006382
U659Z4P,"Sídliště Libuš",14.454156,50.005928
U533Z4P,"Libuš",14.455747,50.008972
U533Z3P,"Libuš",14.455760,50.008667
U659Z3P,"Sídliště Libuš",14.453671,50.006008
U509Z3P,"Observatoř Libuš",14.446877,50.006531
U2708Z1P,"Hasičská stanice Modřany",14.439692,50.005943
U703Z8P,"Staroměstská",14.414056,50.089207
U593Z2P,"Právnická fakulta",14.417603,50.091251
U115Z2P,"Nádraží Holešovice",14.437506,50.109966
